history:LTA_REF/LTA_1_DEFROST,,,
2019-十月-1 00:00 AM CT  to  2019-十月-16 14:30 PM CT,,,
,,,
Timestamp,Trend Flags,Status,Value
2019-十月-9 12:16:30 PM CT,{start},{down},OFF
2019-十月-9 12:16:35 PM CT,{ },{ok},OFF
2019-十月-9 13:30:49 PM CT,{ },{down},OFF
2019-十月-9 13:31:03 PM CT,{ },{ok},OFF
2019-十月-9 14:00:04 PM CT,{ },{ok},ON
2019-十月-9 14:30:12 PM CT,{ },{ok},OFF
2019-十月-9 17:45:05 PM CT,{start},{overridden},OFF
2019-十月-9 17:45:09 PM CT,{ },{overridden},ON
2019-十月-9 17:45:21 PM CT,{ },{ok},ON
2019-十月-9 17:45:24 PM CT,{ },{ok},OFF
2019-十月-9 17:45:49 PM CT,{ },{overridden},OFF
2019-十月-9 17:45:49 PM CT,{ },{overridden},ON
2019-十月-9 17:46:00 PM CT,{ },{ok},ON
2019-十月-9 17:46:05 PM CT,{ },{ok},OFF
2019-十月-9 20:00:07 PM CT,{ },{ok},ON
2019-十月-9 20:30:09 PM CT,{ },{ok},OFF
2019-十月-10 02:00:04 AM CT,{ },{ok},ON
2019-十月-10 02:30:10 AM CT,{ },{ok},OFF
2019-十月-10 08:00:06 AM CT,{ },{ok},ON
2019-十月-10 08:30:12 AM CT,{ },{ok},OFF
2019-十月-10 14:00:08 PM CT,{ },{ok},ON
2019-十月-10 14:30:14 PM CT,{ },{ok},OFF
2019-十月-10 20:00:04 PM CT,{ },{ok},ON
2019-十月-10 20:30:06 PM CT,{ },{ok},OFF
2019-十月-11 02:00:06 AM CT,{ },{ok},ON
2019-十月-11 02:30:18 AM CT,{ },{ok},OFF
2019-十月-11 08:00:07 AM CT,{ },{ok},ON
2019-十月-11 08:30:10 AM CT,{ },{ok},OFF
2019-十月-11 14:00:07 PM CT,{ },{ok},ON
2019-十月-11 14:30:13 PM CT,{ },{ok},OFF
2019-十月-11 20:00:04 PM CT,{ },{ok},ON
2019-十月-11 20:30:16 PM CT,{ },{ok},OFF
2019-十月-12 02:00:05 AM CT,{ },{ok},ON
2019-十月-12 02:30:12 AM CT,{ },{ok},OFF
2019-十月-12 08:00:07 AM CT,{ },{ok},ON
2019-十月-12 08:30:14 AM CT,{ },{ok},OFF
2019-十月-12 14:00:09 PM CT,{ },{ok},ON
2019-十月-12 14:30:10 PM CT,{ },{ok},OFF
2019-十月-12 20:00:06 PM CT,{ },{ok},ON
2019-十月-12 20:30:13 PM CT,{ },{ok},OFF
2019-十月-13 02:00:08 AM CT,{ },{ok},ON
2019-十月-13 02:30:15 AM CT,{ },{ok},OFF
2019-十月-13 08:00:04 AM CT,{ },{ok},ON
2019-十月-13 08:30:06 AM CT,{ },{ok},OFF
2019-十月-13 14:00:05 PM CT,{ },{ok},ON
2019-十月-13 14:30:07 PM CT,{ },{ok},OFF
2019-十月-13 20:00:04 PM CT,{ },{ok},ON
2019-十月-13 20:30:11 PM CT,{ },{ok},OFF
2019-十月-14 02:00:06 AM CT,{ },{ok},ON
2019-十月-14 02:30:08 AM CT,{ },{ok},OFF
2019-十月-14 08:00:07 AM CT,{ },{ok},ON
2019-十月-14 08:30:04 AM CT,{ },{ok},OFF
2019-十月-14 14:00:04 PM CT,{ },{ok},ON
2019-十月-14 14:30:15 PM CT,{ },{ok},OFF
2019-十月-14 20:00:06 PM CT,{ },{ok},ON
2019-十月-14 20:30:12 PM CT,{ },{ok},OFF
2019-十月-15 02:00:06 AM CT,{ },{ok},ON
2019-十月-15 02:30:13 AM CT,{ },{ok},OFF
2019-十月-15 08:00:08 AM CT,{ },{ok},ON
2019-十月-15 08:30:15 AM CT,{ },{ok},OFF
2019-十月-15 14:00:05 PM CT,{ },{ok},ON
2019-十月-15 14:30:07 PM CT,{ },{ok},OFF
2019-十月-15 20:00:04 PM CT,{ },{ok},ON
2019-十月-15 20:30:11 PM CT,{ },{ok},OFF
2019-十月-16 02:00:06 AM CT,{ },{ok},ON
2019-十月-16 02:30:12 AM CT,{ },{ok},OFF
2019-十月-16 08:00:07 AM CT,{ },{ok},ON
2019-十月-16 08:30:09 AM CT,{ },{ok},OFF
2019-十月-16 14:00:03 PM CT,{ },{ok},ON
