history:WM3423_BJ_LTA_REF/LTA_DISCHRG_PSIG
2019-十月-1 00:00 AM CT  to  2019-十月-16 14:26 PM CT

Timestamp,Trend Flags,Status,Value (psi)
"2019-十月-8 18:10:00 PM CT","{start}","{fault,down,stale}","-100.0 psi"
"2019-十月-8 18:20:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 18:30:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 18:40:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 18:50:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 19:00:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 19:10:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 19:20:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 19:30:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 19:40:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 19:50:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 20:00:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 20:10:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 20:20:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 20:30:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 20:40:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 20:50:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 21:00:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 21:10:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 21:20:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 21:30:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 21:40:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 21:50:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 22:00:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 22:10:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 22:20:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 22:30:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 22:40:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 22:50:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 23:00:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 23:10:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 23:20:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 23:30:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 23:40:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-8 23:50:00 PM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 00:00:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 00:10:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 00:20:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 00:30:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 00:40:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 00:50:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 01:00:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 01:10:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 01:20:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 01:30:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 01:40:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 01:50:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 02:00:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 02:10:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 02:20:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
"2019-十月-9 02:30:00 AM CT","{ }","{fault,down,stale}","-100.0 psi"
