history:LTA_REF/LTA_1_FZN_FD,,,
2019-十月-1 00:00 AM CT  to  2019-十月-16 14:32 PM CT,,,
,,,
Timestamp,Trend Flags,Status,Value
2019-十月-13 02:33:15 AM CT,{ },{ok},ON
2019-十月-13 02:50:21 AM CT,{ },{ok},OFF
2019-十月-13 02:50:26 AM CT,{ },{ok},ON
2019-十月-13 02:55:06 AM CT,{ },{ok},OFF
2019-十月-13 02:55:41 AM CT,{ },{ok},ON
2019-十月-13 03:35:38 AM CT,{ },{ok},OFF
2019-十月-13 03:41:14 AM CT,{ },{ok},ON
2019-十月-13 03:55:49 AM CT,{ },{ok},OFF
2019-十月-13 04:01:50 AM CT,{ },{ok},ON
2019-十月-13 04:12:40 AM CT,{ },{ok},OFF
2019-十月-13 04:19:01 AM CT,{ },{ok},ON
2019-十月-13 04:38:52 AM CT,{ },{ok},OFF
2019-十月-13 04:45:32 AM CT,{ },{ok},ON
2019-十月-13 04:52:48 AM CT,{ },{ok},OFF
2019-十月-13 04:59:28 AM CT,{ },{ok},ON
2019-十月-13 05:09:29 AM CT,{ },{ok},OFF
2019-十月-13 05:16:29 AM CT,{ },{ok},ON
2019-十月-13 05:23:09 AM CT,{ },{ok},OFF
2019-十月-13 05:29:55 AM CT,{ },{ok},ON
2019-十月-13 05:43:06 AM CT,{ },{ok},OFF
2019-十月-13 05:50:06 AM CT,{ },{ok},ON
2019-十月-13 05:55:11 AM CT,{ },{ok},OFF
2019-十月-13 06:02:22 AM CT,{ },{ok},ON
2019-十月-13 06:09:12 AM CT,{ },{ok},OFF
2019-十月-13 06:16:33 AM CT,{ },{ok},ON
2019-十月-13 06:24:53 AM CT,{ },{ok},OFF
2019-十月-13 06:31:53 AM CT,{ },{ok},ON
2019-十月-13 06:52:15 AM CT,{ },{ok},OFF
2019-十月-13 06:58:51 AM CT,{ },{ok},ON
2019-十月-13 07:20:02 AM CT,{ },{ok},OFF
2019-十月-13 07:26:32 AM CT,{ },{ok},ON
2019-十月-13 08:00:04 AM CT,{ },{ok},OFF
2019-十月-13 08:33:06 AM CT,{ },{ok},ON
2019-十月-13 08:53:12 AM CT,{ },{ok},OFF
2019-十月-13 08:53:22 AM CT,{ },{ok},ON
2019-十月-13 09:01:33 AM CT,{ },{ok},OFF
2019-十月-13 09:05:23 AM CT,{ },{ok},ON
2019-十月-13 09:07:03 AM CT,{ },{ok},OFF
2019-十月-13 09:09:18 AM CT,{ },{ok},ON
2019-十月-13 09:54:11 AM CT,{ },{ok},OFF
2019-十月-13 10:00:26 AM CT,{ },{ok},ON
2019-十月-13 10:12:17 AM CT,{ },{ok},OFF
2019-十月-13 10:19:17 AM CT,{ },{ok},ON
2019-十月-13 10:38:14 AM CT,{ },{ok},OFF
2019-十月-13 10:44:59 AM CT,{ },{ok},ON
2019-十月-13 10:54:50 AM CT,{ },{ok},OFF
2019-十月-13 11:01:25 AM CT,{ },{ok},ON
2019-十月-13 11:09:15 AM CT,{ },{ok},OFF
2019-十月-13 11:16:11 AM CT,{ },{ok},ON
2019-十月-13 11:26:01 AM CT,{ },{ok},OFF
2019-十月-13 11:33:02 AM CT,{ },{ok},ON
2019-十月-13 11:42:07 AM CT,{ },{ok},OFF
2019-十月-13 11:49:38 AM CT,{ },{ok},ON
2019-十月-13 11:59:43 AM CT,{ },{ok},OFF
2019-十月-13 12:07:09 PM CT,{ },{ok},ON
2019-十月-13 12:15:54 PM CT,{ },{ok},OFF
2019-十月-13 12:24:00 PM CT,{ },{ok},ON
2019-十月-13 12:37:10 PM CT,{ },{ok},OFF
2019-十月-13 12:44:41 PM CT,{ },{ok},ON
2019-十月-13 12:49:21 PM CT,{ },{ok},OFF
2019-十月-13 12:56:52 PM CT,{ },{ok},ON
2019-十月-13 13:03:07 PM CT,{ },{ok},OFF
2019-十月-13 13:10:52 PM CT,{ },{ok},ON
2019-十月-13 13:27:18 PM CT,{ },{ok},OFF
2019-十月-13 13:34:54 PM CT,{ },{ok},ON
2019-十月-13 13:42:44 PM CT,{ },{ok},OFF
2019-十月-13 13:50:10 PM CT,{ },{ok},ON
2019-十月-13 14:00:05 PM CT,{ },{ok},OFF
2019-十月-13 14:33:07 PM CT,{ },{ok},ON
2019-十月-13 14:54:14 PM CT,{ },{ok},OFF
2019-十月-13 14:56:14 PM CT,{ },{ok},ON
2019-十月-13 15:06:05 PM CT,{ },{ok},OFF
2019-十月-13 15:07:30 PM CT,{ },{ok},ON
2019-十月-13 15:42:37 PM CT,{ },{ok},OFF
