Timestamp,A TEMP_Value (°„F),B TEMP_Value (°„F),C TEMP_Value (°„F),DISCHRG_PSIG_Value (psi),SUCTION_PSIG_Value (psi)
2019-10-08 18:10:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 18:20:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 18:30:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 18:40:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 18:50:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 19:00:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 19:10:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 19:20:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 19:30:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 19:40:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 19:50:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 20:00:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 20:10:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 20:20:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 20:30:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 20:40:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 20:50:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 21:00:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 21:10:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 21:20:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 21:30:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 21:40:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 21:50:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 22:00:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 22:10:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 22:20:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 22:30:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 22:40:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 22:50:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 23:00:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 23:10:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 23:20:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 23:30:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 23:40:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-08 23:50:00,-40.0,-40.0,-40.0,-100.0,-25.0
2019-10-09 00:00:00,-40.0,-40.0,-40.0,-100.0,-25.0
